Metric,DT,RF,LR,SVM,NB,KNN
Accuracy,1.0,1.0,0.975609756097561,0.975609756097561,0.975609756097561,0.9512195121951219
F1-Score,1.0,1.0,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9285714285714286
Recall,1.0,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667
Precision,1.0,1.0,1.0,1.0,1.0,1.0
R2-Score,1.0,1.0,0.8948717948717949,0.8948717948717949,0.8948717948717949,0.7897435897435897
